"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    
          0,           0,         177,      -10.31017103,      -7.161951751,      -9.964420457,       -12.0005849
          0,           0,         178,       -10.3044573,      -7.162515342,      -9.963785492,       -11.9988346
          0,           0,         179,      -10.29843581,      -7.163078844,      -9.963021833,      -11.99686202
          0,           0,         180,      -10.29231294,      -7.163642235,      -9.962051072,       -11.9941415
          0,           0,         181,      -10.28627093,      -7.164205768,      -9.960820194,      -11.99199308
          0,           0,         182,      -10.28045375,      -7.164769487,      -9.959302877,       -11.9901661
          0,           0,         183,      -10.27496007,      -7.165333365,      -9.957496705,      -11.98845653
          0,           0,         184,      -10.26984669,      -7.165897359,       -9.95541812,      -11.98622912
          0,           0,         185,      -10.26514726,       -7.16646151,      -9.953095634,      -11.98366172
          0,           0,         186,      -10.26088521,      -7.167026021,       -9.95056206,      -11.98166654
          0,           0,         187,      -10.25707271,      -7.167590859,      -9.947847129,      -11.97990987
          0,           0,         188,      -10.25370308,      -7.168155953,      -9.944972127,      -11.97821239
          0,           0,         189,      -10.25074207,      -7.168721227,      -9.941947593,      -11.97571927
          0,           0,         190,      -10.24812226,      -7.169286794,      -9.938774067,      -11.97338299
          0,           0,         191,      -10.24574653,      -7.169852764,      -9.935445142,      -11.97150955
          0,           0,         192,      -10.24350195,      -7.170419084,      -9.931951547,      -11.96980913
          0,           0,         193,      -10.24127594,      -7.170985687,      -9.928284957,      -11.96802895
          0,           0,         194,      -10.23897218,      -7.171552518,      -9.924440694,      -11.96540372
          0,           0,         195,      -10.23652459,      -7.172119785,      -9.920419173,      -11.96328729
          0,           0,         196,      -10.23390568,      -7.172687513,      -9.916226457,      -11.96150969
          0,           0,         197,      -10.23112652,      -7.173255639,      -9.911874351,      -11.95985323
          0,           0,         198,       -10.2282292,      -7.173824091,       -9.90738029,      -11.95782546
          0,           0,         199,      -10.22527691,      -7.174392853,      -9.902766944,      -11.95530988
          0,           0,         200,      -10.22234088,      -7.174962113,      -9.898061472,      -11.95336527
          0,           0,         201,      -10.21948757,      -7.175531821,      -9.893294381,      -11.95165978
          0,           0,         202,      -10.21676906,      -7.176101889,      -9.888498097,      -11.95002783
          0,           0,         203,      -10.21421748,      -7.176672229,       -9.88370549,      -11.94769861
          0,           0,         204,      -10.21184399,      -7.177242907,      -9.878948535,      -11.94542259
          0,           0,         205,      -10.20964097,      -7.177814018,      -9.874257382,      -11.94360368
          0,           0,         206,      -10.20758683,      -7.178385484,      -9.869659829,      -11.94195133
          0,           0,         207,      -10.20565095,      -7.178957217,      -9.865181214,       -11.9402712
          0,           0,         208,       -10.2037998,      -7.179529138,      -9.860844588,      -11.93776281
          0,           0,         209,       -10.2020027,      -7.180101406,      -9.856671001,      -11.93342438
          0,           0,         210,      -10.03249306,      -7.181267605,      -9.828789648,      -11.92464963
          0,           0,         211,      -9.721102567,      -7.183659211,      -9.604648964,      -11.92407532
          0,           0,         212,       -9.89869036,      -7.184211062,      -9.684252183,      -11.91975593
          0,           0,         213,      -9.948662859,       -7.18535168,      -9.734160499,        -11.911421
          0,           0,         214,      -9.701917645,      -7.187700285,       -9.58664287,      -11.91032162
          0,           0,         215,      -9.865316999,      -7.188241664,       -9.66361549,      -11.90618243
          0,           0,         216,      -9.908747733,       -7.18936638,      -9.712371292,      -11.89795585
          0,           0,         217,      -9.680140633,      -7.191702454,      -9.580567742,      -11.89726017
          0,           0,         218,      -9.837139869,      -7.192242176,      -9.652435251,      -11.89325808
          0,           0,         219,      -9.877205238,      -7.193365754,      -9.698738979,      -11.88539851
          0,           0,         220,      -9.660117347,      -7.195700878,      -9.581425623,      -11.88417898
          0,           0,         221,       -9.81795307,      -7.196241675,      -9.651631536,      -11.88020613
          0,           0,         222,      -9.871392713,        -7.1973675,      -9.700564315,      -11.87243623
          0,           0,         223,      -9.668376572,      -7.199708754,       -9.58563418,      -11.87156921
          0,           0,         224,      -9.833044448,      -7.200249987,      -9.657215459,       -11.8678893
          0,           0,         225,      -9.891768699,      -7.201377435,      -9.709287189,      -11.86039832
          0,           0,         226,      -9.675937838,      -7.203721741,      -9.586314388,      -11.85910884
          0,           0,         227,      -9.845438475,      -7.204262489,      -9.661226925,      -11.85519417
          0,           0,         228,      -9.900845792,      -7.205390233,      -9.716161969,      -11.84781842
          0,           0,         229,      -9.672330052,      -7.207736071,      -9.583185085,      -11.84675586
          0,           0,         230,      -9.844110019,      -7.208276512,      -9.661713122,      -11.84342827
          0,           0,         231,       -9.89511147,      -7.209403189,      -9.718935243,      -11.83610915
          0,           0,         232,      -9.660590499,      -7.211747005,      -9.579118341,      -11.83492883
          0,           0,         233,      -9.831139219,      -7.212287064,      -9.659686745,       -11.8309617
          0,           0,         234,      -9.878831982,      -7.213413121,      -9.717816552,      -11.82393758
          0,           0,         235,      -9.644762128,      -7.215755976,      -9.574305948,      -11.82265894
          0,           0,         236,      -9.812564857,      -7.216296746,      -9.654854155,      -11.81951695
          0,           0,         237,      -9.859339046,      -7.217422824,      -9.712382447,      -11.81243342
          0,           0,         238,      -9.628155325,      -7.219764563,      -9.566779344,      -11.81120048
          0,           0,         239,      -9.793377471,      -7.220306212,      -9.645905521,      -11.80738349
          0,           0,         240,      -9.840797207,      -7.221432442,      -9.701510893,      -11.80068259
          0,           0,         241,      -9.612435941,      -7.223772247,      -9.554974311,      -11.79916616
          0,           0,         242,      -9.775957835,      -7.224314659,      -9.631835027,      -11.79604375
          0,           0,         243,      -9.824220256,       -7.22543983,      -9.684468579,      -11.79474945
          0,           0,         244,      -9.904318106,      -7.225991497,      -9.693774437,      -11.79101944
          0,           0,         245,      -9.856611271,      -7.227121316,      -9.712777333,      -11.78446127
          0,           0,         246,       -9.59091819,      -7.229466579,      -9.527842362,      -11.78284139
          0,           0,         247,      -9.756721288,      -7.230012617,      -9.603966122,      -11.78136848
          0,           0,         248,       -9.87678478,      -7.230564844,      -9.628279851,      -11.77995097
          0,           0,         249,       -9.94046441,      -7.231122996,      -9.660285247,      -11.77853186
          0,           0,         250,      -9.965145834,      -7.231681293,      -9.683377676,      -11.77666868
          0,           0,         251,      -9.976401649,      -7.232236876,      -9.693316723,      -11.77503913
          0,           0,         252,      -9.981048421,      -7.232790103,      -9.696190413,      -11.77355939
          0,           0,         253,      -9.984081759,      -7.233342882,      -9.696708186,      -11.77212761
          0,           0,         254,      -9.989786907,      -7.233897148,      -9.696581431,      -11.77069394
          0,           0,         255,      -9.998735628,      -7.234454191,      -9.696599197,      -11.76883153
          0,           0,         256,      -10.00913097,       -7.23501465,      -9.697093644,       -11.7672043
          0,           0,         257,      -10.01893011,      -7.235578512,      -9.698002273,       -11.7641904
          0,           0,         258,      -9.879379585,      -7.236734962,       -9.68807308,      -11.75767931
          0,           0,         259,      -9.576348129,      -7.239113332,      -9.480038359,      -11.75595468
          0,           0,         260,      -9.751285327,      -7.239667917,       -9.56478508,       -11.7545443
          0,           0,         261,      -9.880789252,      -7.240223713,       -9.59943274,      -11.75275984
          0,           0,         262,      -9.953537364,      -7.240782532,      -9.637349798,      -11.75113288
          0,           0,         263,      -9.984651437,      -7.241338926,      -9.665171881,      -11.74964994
          0,           0,         264,      -10.00114029,      -7.241890057,      -9.679873494,      -11.74821334
          0,           0,         265,      -10.00799425,      -7.242436641,       -9.68681208,      -11.74679061
          0,           0,         266,      -10.00981452,      -7.242981302,      -9.689740149,      -11.74503368
          0,           0,         267,      -10.01247047,       -7.24352689,      -9.690052763,      -11.74338756
          0,           0,         268,      -10.01669457,      -7.244075466,      -9.688944346,      -11.74189181
          0,           0,         269,      -10.01921568,      -7.244628064,      -9.687400758,      -11.74044608
          0,           0,         270,      -10.01772002,      -7.245184875,      -9.685844461,      -11.73901819
          0,           0,         271,      -10.01259058,      -7.245745459,      -9.684433831,      -11.73731741
          0,           0,         272,       -10.0049935,      -7.246308957,      -9.683411376,      -11.73564638
          0,           0,         273,      -9.995797152,      -7.246874266,      -9.683128318,      -11.73414033
          0,           0,         274,      -9.986279909,      -7.247440219,      -9.683815832,      -11.73268795
          0,           0,         275,      -9.978625814,      -7.248005806,      -9.685404151,      -11.73125467
          0,           0,         276,      -9.975923401,      -7.248570301,      -9.687615748,      -11.72962912
          0,           0,         277,       -9.98148333,      -7.249133296,      -9.690287681,      -11.72791696
          0,           0,         278,      -9.996470242,      -7.249694623,      -9.693546826,      -11.72639544
          0,           0,         279,      -10.01715387,      -7.250254174,        -9.6974969,      -11.72493409
          0,           0,         280,      -10.03602806,      -7.250811991,      -9.701733603,      -11.72349429
          0,           0,         281,      -10.04822255,      -7.251368383,      -9.705416466,      -11.72196099
          0,           0,         282,      -10.05470177,       -7.25192388,      -9.707935886,      -11.72019864
          0,           0,         283,      -10.05705018,      -7.252479045,      -9.709307097,      -11.71865973
          0,           0,         284,      -10.05457594,      -7.253034245,       -9.70982868,      -11.71719055
          0,           0,         285,      -10.04840041,      -7.253589742,      -9.709643877,      -11.71574626
          0,           0,         286,      -10.04281104,      -7.254145719,      -9.708787294,      -11.71428825
          0,           0,         287,      -10.04088917,      -7.254702203,      -9.707421532,      -11.71250916
          0,           0,         288,      -10.04200708,      -7.255259066,      -9.705824298,      -11.71094753
          0,           0,         289,      -10.04381262,      -7.255816018,       -9.70421736,      -11.70946947
          0,           0,         290,       -10.0448844,      -7.256372741,      -9.702704284,      -11.70802077
          0,           0,         291,      -10.04512205,      -7.256928954,      -9.701324555,      -11.70658214
          0,           0,         292,      -10.04472701,      -7.257484419,       -9.70009719,      -11.70486067
          0,           0,         293,      -10.04363129,      -7.258038991,       -9.69901785,      -11.70326435
          0,           0,         294,      -10.04162566,       -7.25859258,      -9.698048544,       -11.7017733
          0,           0,         295,      -10.03859349,      -7.259145152,      -9.697122665,      -11.70031895
          0,           0,         296,      -10.03458241,      -7.259696739,      -9.696158854,      -11.69887906
          0,           0,         297,      -10.02977997,      -7.260247414,      -9.695075053,      -11.69726302
          0,           0,         298,      -10.02446812,      -7.260797288,      -9.693802217,      -11.69561044
          0,           0,         299,      -10.01896983,      -7.261346477,       -9.69229837,      -11.69410169
          0,           0,         300,      -10.01359923,      -7.261895044,       -9.69055949,      -11.69264102
          0,           0,         301,      -10.00863116,      -7.262443015,       -9.68862147,      -11.69119837
          0,           0,         302,      -10.00428505,      -7.262990383,      -9.686550308,      -11.68971298
          0,           0,         303,      -10.00070974,      -7.263537116,      -9.684423639,      -11.68799077
          0,           0,         304,      -9.997970389,       -7.26408321,      -9.682310958,      -11.68645834
          0,           0,         305,      -9.996043668,      -7.264628616,      -9.680259598,       -11.6849895
          0,           0,         306,      -9.994821887,      -7.265173292,      -9.678289826,      -11.68354333
          0,           0,         307,       -9.99412857,      -7.265717211,       -9.67639813,      -11.68210477
          0,           0,         308,      -9.993746272,      -7.266260367,      -9.674565032,      -11.68042116
          0,           0,         309,      -9.993449445,      -7.266802804,      -9.672763518,      -11.67885107
          0,           0,         310,      -9.993034783,      -7.267344568,       -9.67096548,      -11.67736896
          0,           0,         311,      -9.992345976,      -7.267885701,      -9.669145413,        -11.675918
          0,           0,         312,      -9.991289986,      -7.268426246,      -9.667282037,      -11.67447997
          0,           0,         313,       -9.98984207,      -7.268966242,      -9.665358864,      -11.67292102
          0,           0,         314,      -9.988039449,      -7.269505731,      -9.663364501,      -11.67128292
          0,           0,         315,      -9.985967035,       -7.27004476,      -9.661292908,      -11.66977976
          0,           0,         316,      -9.983737868,      -7.270583334,       -9.65914339,      -11.66832245
          0,           0,         317,      -9.981471321,      -7.271121444,       -9.65692007,      -11.66555894
          0,           0,         318,       -9.80974286,      -7.272213651,      -9.621160882,      -11.65973702
          0,           0,         319,      -9.497673105,       -7.27444677,      -9.380332191,      -11.65744488
          0,           0,         320,      -9.662964084,      -7.274977978,      -9.470758255,      -11.65446798
          0,           0,         321,      -9.716782449,      -7.276042947,      -9.517306706,      -11.64894012
          0,           0,         322,      -9.483406962,      -7.278204656,      -9.366497929,      -11.64649873
          0,           0,         323,      -9.635870065,      -7.278716981,      -9.452248383,      -11.64372634
          0,           0,         324,      -9.677163024,      -7.279747096,      -9.497822204,      -11.63817736
          0,           0,         325,      -9.458392096,      -7.281867795,       -9.36725811,      -11.63583894
          0,           0,         326,      -9.603107257,      -7.282375574,      -9.439820862,      -11.63319628
          0,           0,         327,      -9.639193811,      -7.283396665,      -9.475955206,      -11.62767111
          0,           0,         328,         -9.434834,      -7.285495307,      -9.371333994,      -11.62535812
          0,           0,         329,      -9.579923609,       -7.28600506,      -9.432525103,      -11.62270722
          0,           0,         330,      -9.628657848,      -7.287022396,      -9.467326931,       -11.6172807
          0,           0,         331,      -9.443369694,      -7.289109244,      -9.376754046,      -11.61497615
          0,           0,         332,      -9.591934619,      -7.289614181,      -9.433080494,      -11.61219783
          0,           0,         333,      -9.644746253,      -7.290624549,      -9.469226664,      -11.60695952
          0,           0,         334,      -9.452150578,      -7.292696779,      -9.379366073,      -11.60453328
          0,           0,         335,      -9.601709745,       -7.29319522,      -9.435132207,      -11.60188727
