"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         164,      -6.508432818,      -3.983262482,      -5.564317938,      -1.046464277
          0,           0,         165,      -6.568843246,      -3.939811228,      -5.548933148,      -1.106956734
          0,           0,         166,      -6.644873347,      -3.906635269,      -5.534838478,      -1.183103476
          0,           0,         167,      -6.742642359,      -3.882098222,      -5.522696165,       -1.28104185
          0,           0,         168,      -6.873739684,      -3.865122931,      -5.512914288,      -1.412405792
          0,           0,         169,      -7.063423476,      -3.855007689,      -5.505717542,      -1.602587817
          0,           0,         170,      -7.369320222,      -3.851323747,      -5.501205936,      -1.909592138
          0,           0,         171,      -7.487650608,      -3.853857429,      -5.499527046,      -2.024931046
          0,           0,         172,      -7.151032825,      -3.862580579,      -5.500975876,      -1.688034562
          0,           0,         173,      -6.940021046,      -3.877652467,      -5.505742634,      -1.477434561
          0,           0,         174,      -6.801147554,      -3.899442323,      -5.513868755,      -1.338806385
          0,           0,         175,      -6.701297888,      -3.928574372,      -5.525372681,      -1.239113778
          0,           0,         176,      -6.625981526,      -3.966013443,      -5.540308071,      -1.163904025
          0,           0,         177,      -6.567840205,      -4.013220092,      -5.558774487,      -1.105835978
          0,           0,         178,      -6.522697198,      -4.072438699,      -5.580894904,      -1.060741903
          0,           0,         179,      -6.487997214,      -4.147267092,      -5.606784315,      -1.026072176
          0,           0,         180,       -6.46210063,      -4.243899299,      -5.636504544,      -1.000191453
          0,           0,         181,      -6.443930203,      -4.374259299,       -5.66998917,     -0.9820262034
          0,           0,         182,      -6.432781429,      -4.565838014,      -5.706923529,     -0.9708754151
          0,           0,         183,      -6.428216891,      -4.903961529,      -5.746558892,     -0.9663050693
          0,           0,         184,      -6.430008221,      -5.156353629,      -5.787444671,     -0.9680901179
          0,           0,         185,      -6.438108464,      -4.697759911,      -5.827113701,     -0.9761868414
          0,           0,         186,      -6.452647405,      -4.465065308,      -5.861912583,     -0.9907281651
          0,           0,         187,      -6.473948526,      -4.319055338,      -5.887406923,       -1.01204064
          0,           0,         188,      -6.502571806,      -4.216005741,      -5.899752075,      -1.040687355
          0,           0,         189,      -6.539394211,      -4.139054892,      -5.897546048,      -1.077548675
          0,           0,         190,      -6.585753456,      -4.080034965,      -5.882595434,      -1.123966523
          0,           0,         191,      -6.643710096,       -4.03440825,       -5.85879071,      -1.182007552
          0,           0,         192,      -6.716553948,      -3.999425283,      -5.830268162,      -1.254971944
          0,           0,         193,       -6.80987519,      -3.973327775,      -5.800272068,      -1.348470321
          0,           0,         194,      -6.934139006,      -3.954960643,      -5.770921997,      -1.473014924
          0,           0,         195,      -7.112063998,      -3.943567623,      -5.743449239,      -1.651455182
          0,           0,         196,      -7.403130037,      -3.938678537,       -5.71848735,      -1.943658613
          0,           0,         197,      -7.685224398,      -3.940047773,      -5.696334287,      -2.221510683
          0,           0,         198,      -7.302705837,       -3.94762411,       -5.67713966,       -1.83862276
          0,           0,         199,      -7.063278964,      -3.961540903,      -5.660998588,      -1.600078046
          0,           0,         200,      -6.912142139,      -3.982127571,      -5.648052746,      -1.449353522
          0,           0,         201,      -6.805571369,      -4.009954968,      -5.638371412,      -1.343016591
          0,           0,         202,      -6.725991721,      -4.045913661,      -5.631988904,      -1.263585818
          0,           0,         203,       -6.66486863,      -4.091355183,      -5.628831007,      -1.202562852
          0,           0,         204,      -6.617484628,      -4.148350357,      -5.628641161,      -1.155247133
          0,           0,         205,      -6.581000542,      -4.220191977,      -5.630948507,      -1.118808738
          0,           0,         206,       -6.55361229,      -4.312468353,      -5.635080685,      -1.091449444
          0,           0,         207,      -6.534139834,       -4.43568687,       -5.64022563,      -1.071993454
          0,           0,         208,      -6.521810273,      -4.613111855,      -5.645528089,      -1.059671277
          0,           0,         209,      -6.516137993,      -4.912195306,      -5.650202425,      -1.054000243
          0,           0,         210,      -6.516858502,      -5.310665265,      -5.653635738,      -1.054718487
          0,           0,         211,      -6.523895586,      -4.839822852,      -5.655450688,      -1.061752163
          0,           0,         212,      -6.537352723,      -4.583606284,      -5.655512961,      -1.075206859
          0,           0,         213,      -6.557526425,       -4.42736989,      -5.653901132,      -1.095380942
          0,           0,         214,      -6.584944891,      -4.318581334,      -5.650852854,      -1.122804213
          0,           0,         215,      -6.620442652,      -4.237882324,      -5.646711489,      -1.158312585
          0,           0,         216,      -6.665294779,      -4.176163783,      -5.641879873,      -1.203182394
          0,           0,         217,      -6.721461391,      -4.128458802,      -5.636782415,      -1.259375131
          0,           0,         218,      -6.792058393,      -4.091795171,      -5.631833049,      -1.330008718
          0,           0,         219,      -6.882348068,      -4.064287237,      -5.627412404,      -1.420349493
          0,           0,         220,      -7.002110354,      -4.044700735,      -5.623852386,      -1.540187877
          0,           0,         221,       -7.17248839,      -4.032225316,      -5.621439914,      -1.710702707
          0,           0,         222,      -7.451754651,      -4.026349243,      -5.620421602,      -1.990362677
          0,           0,         223,        -7.8731931,      -4.026790214,      -5.621027288,      -2.413093065
          0,           0,         224,       -7.44811951,      -4.033458256,      -5.623530185,      -1.986069366
          0,           0,         225,      -7.180260804,      -4.046447529,      -5.628126897,       -1.71820388
          0,           0,         226,      -7.018505268,      -4.066050126,      -5.634907057,      -1.556497255
          0,           0,         227,      -6.906449487,      -4.092791815,      -5.643912298,      -1.444483055
          0,           0,         228,      -6.823471693,      -4.127502624,      -5.655169188,      -1.361537725
          0,           0,         229,      -6.759986393,      -4.171444922,      -5.668685495,      -1.298076943
          0,           0,         230,      -6.710818124,      -4.226547532,        -5.6844357,      -1.248926362
          0,           0,         231,      -6.672894294,      -4.295856378,      -5.702341037,      -1.211014424
          0,           0,         232,       -6.64427746,      -4.384480197,      -5.722243689,      -1.182404762
          0,           0,         233,      -6.623704182,      -4.501843915,      -5.743870943,      -1.161835128
          0,           0,         234,      -6.610345187,      -4.668168343,      -5.766792314,      -1.148477574
          0,           0,         235,      -6.603673785,      -4.939146017,      -5.790371036,      -1.141806859
          0,           0,         236,      -6.603392941,      -5.407800132,      -5.813724102,      -1.141527503
          0,           0,         237,      -6.609397893,      -4.985391552,      -5.835712685,      -1.147536392
          0,           0,         238,       -6.62176385,      -4.703013764,      -5.854995096,      -1.159910477
          0,           0,         239,      -6.640755493,      -4.536090417,      -5.870176618,      -1.178916311
          0,           0,         240,      -6.666860685,      -4.421499697,      -5.880056178,      -1.205043871
          0,           0,         241,      -6.700857659,      -4.337067852,      -5.883902619,      -1.239073954
          0,           0,         242,      -6.743936459,      -4.272670748,      -5.881645918,      -1.282200067
          0,           0,         243,      -6.797919334,      -4.222890801,      -5.873879368,      -1.336249717
          0,           0,         244,      -6.865681035,      -4.184525369,      -5.861677023,      -1.404106668
          0,           0,         245,      -6.952020931,      -4.155557816,      -5.846325189,       -1.49058783
          0,           0,         246,      -7.065711793,      -4.134672462,      -5.829083048,      -1.604505673
          0,           0,         247,      -7.225285059,      -4.121004246,      -5.811043427,      -1.764503046
          0,           0,         248,      -7.480770028,      -4.114002028,      -5.793079692,      -2.021057471
          0,           0,         249,      -7.979532515,      -4.113352926,      -5.775839532,      -2.522285327
          0,           0,         250,       -7.61637185,      -4.118943151,      -5.759802056,      -2.151867709
          0,           0,         251,      -7.307449313,      -4.130843934,      -5.745305181,      -1.844069885
          0,           0,         252,      -7.130995841,       -4.14931634,      -5.732600348,      -1.668077073
          0,           0,         253,      -7.011473455,      -4.174843537,      -5.721866059,      -1.548795238
          0,           0,         254,      -6.923928956,      -4.208196912,      -5.713204092,      -1.461397214
          0,           0,         255,      -6.857317316,      -4.250552606,      -5.706646676,      -1.394882503
          0,           0,         256,      -6.805836965,      -4.303702946,      -5.702143695,      -1.343469021
          0,           0,         257,      -6.766099898,      -4.370458402,       -5.69954957,      -1.303778718
          0,           0,         258,      -6.735990989,      -4.455474993,      -5.698599793,      -1.273702236
          0,           0,         259,      -6.714138249,      -4.567170582,      -5.698914711,      -1.251871311
          0,           0,         260,      -6.699641337,      -4.722994337,      -5.700032193,      -1.237388245
          0,           0,         261,      -6.691923995,       -4.96799386,      -5.701458539,      -1.229678795
          0,           0,         262,      -6.690652257,      -5.412548538,      -5.702735756,        -1.2284106
          0,           0,         263,      -6.695691624,      -5.130943563,      -5.703506252,      -1.233450461
          0,           0,         264,      -6.707090894,      -4.822479077,      -5.703559442,      -1.244848207
          0,           0,         265,      -6.725088341,      -4.644386207,       -5.70284546,       -1.26284287
          0,           0,         266,      -6.750141792,      -4.523820581,      -5.701455472,      -1.287892728
          0,           0,         267,      -6.782990854,      -4.435620124,      -5.699579354,      -1.320737476
          0,           0,         268,      -6.824770379,      -4.368579201,      -5.697458163,      -1.362511569
          0,           0,         269,      -6.877216201,      -4.316802844,      -5.695344097,      -1.414949757
          0,           0,         270,      -6.943055363,       -4.27684617,      -5.693478254,      -1.480776888
          0,           0,         271,      -7.026807788,      -4.246556099,      -5.692076185,      -1.564508634
          0,           0,         272,      -7.136650752,       -4.22453295,      -5.691324795,      -1.674313573
          0,           0,         273,      -7.289614043,      -4.209855337,       -5.69138468,      -1.827201377
          0,           0,         274,      -7.530994763,      -4.201930568,      -5.692395402,      -2.068418444
          0,           0,         275,      -8.041906883,      -4.200411311,      -5.694484816,       -2.57990695
          0,           0,         276,      -7.775914172,      -4.205150554,      -5.697794895,      -2.315548223
          0,           0,         277,      -7.426099969,      -4.216185449,      -5.702435589,      -1.964751543
          0,           0,         278,      -7.237454204,      -4.233743177,       -5.70846299,      -1.775874608
          0,           0,         279,      -7.112136864,      -4.258268636,      -5.715894413,      -1.650464643
          0,           0,         280,      -7.021146971,       -4.29048278,      -5.724718326,      -1.559428914
          0,           0,         281,      -6.952192945,      -4.331489455,       -5.73489199,      -1.490449548
          0,           0,         282,      -6.898964574,      -4.382968643,      -5.746333203,      -1.437206153
          0,           0,         283,      -6.857827552,       -4.44754028,      -5.758911907,      -1.396059818
          0,           0,         284,      -6.826531641,      -4.529502602,      -5.772442611,      -1.364758108
          0,           0,         285,      -6.803622592,       -4.63650725,      -5.786677212,        -1.3418458
          0,           0,         286,      -6.788145381,      -4.784026109,      -5.801298196,      -1.326367596
          0,           0,         287,       -6.77948415,      -5.010417216,      -5.815915337,      -1.317707822
          0,           0,         288,      -6.777273474,      -5.425870383,      -5.830069584,      -1.315501561
          0,           0,         289,      -6.781351062,      -5.284271249,      -5.843247194,      -1.319587304
          0,           0,         290,      -6.791738099,      -4.944470634,      -5.854907002,      -1.329987269
          0,           0,         291,      -6.808641923,      -4.753927426,      -5.864522247,      -1.346910139
          0,           0,         292,      -6.832481735,      -4.627011289,       -5.87163421,      -1.370776883
          0,           0,         293,      -6.863944297,      -4.534891546,      -5.875907694,        -1.4022767
          0,           0,         294,      -6.904086352,      -4.465118916,      -5.877176559,       -1.44246992
          0,           0,         295,      -6.954519746,      -4.411270273,      -5.875466652,      -1.492974067
          0,           0,         296,      -7.017759231,      -4.369639027,       -5.87098926,      -1.556313707
          0,           0,         297,      -7.097927167,      -4.337927038,      -5.864108153,      -1.636629982
          0,           0,         298,      -7.202353874,      -4.314646807,      -5.855289588,       -1.74129436
          0,           0,         299,       -7.34588777,      -4.298819404,      -5.845048281,      -1.885265474
          0,           0,         300,      -7.566179174,       -4.28981144,      -5.833900589,      -2.106612864
          0,           0,         301,      -8.012011842,      -4.287244463,      -5.822324225,      -2.557597081
          0,           0,         302,      -7.975102255,      -4.290946444,      -5.810740991,      -2.509527698
          0,           0,         303,      -7.559774563,      -4.300930814,      -5.799512532,      -2.095804574
          0,           0,         304,      -7.352634912,      -4.317397486,      -5.788922177,      -1.889343929
          0,           0,         305,      -7.218708547,       -4.34075495,      -5.779199852,      -1.755746329
          0,           0,         306,      -7.122670536,      -4.371673851,      -5.770512854,      -1.659899421
          0,           0,         307,      -7.050342035,       -4.41118485,       -5.76296804,      -1.587694124
          0,           0,         308,      -6.994655711,      -4.460853427,      -5.756615573,      -1.532092119
          0,           0,         309,      -6.951613655,      -4.523105205,      -5.751449124,      -1.489109665
          0,           0,         310,      -6.918768014,      -4.601874464,      -5.747411955,      -1.456306666
          0,           0,         311,      -6.894546694,      -4.704036586,      -5.744399683,      -1.432115665
          0,           0,         312,      -6.877918859,      -4.843070034,      -5.742267773,      -1.415508795
          0,           0,         313,      -6.868216448,      -5.050516502,      -5.740844578,      -1.405819989
          0,           0,         314,      -6.865035527,      -5.411595402,      -5.739947926,       -1.40264668
          0,           0,         315,       -6.86818316,      -5.424606867,      -5.739404858,      -1.405796848
          0,           0,         316,      -6.877653773,      -5.065964262,      -5.739073083,      -1.415265449
          0,           0,         317,      -6.893628577,      -4.863153593,      -5.738858995,       -1.43123385
          0,           0,         318,      -6.916497912,      -4.729800036,      -5.738727296,      -1.454092103
          0,           0,         319,      -6.946912492,      -4.633722304,      -5.738699792,      -1.484490072
          0,           0,         320,       -6.98587898,       -4.56123008,      -5.738843871,      -1.523432734
          0,           0,         321,      -7.034932817,      -4.505360821,      -5.739254727,      -1.572452507
          0,           0,         322,      -7.096461392,       -4.46213833,       -5.74003582,      -1.633931375
          0,           0,         323,      -7.174353141,      -4.429114464,      -5.741282003,      -1.711747614
