"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         177,      -6.567840096,      -4.013219508,      -5.558774215,      -1.105835867
          0,           0,         178,      -6.522697036,      -4.072438053,      -5.580894779,       -1.06074174
          0,           0,         179,      -6.487997008,      -4.147266362,       -5.60678441,      -1.026071969
          0,           0,         180,      -6.462100387,      -4.243898449,      -5.636504902,      -1.000191209
          0,           0,         181,      -6.443929927,      -4.374258251,      -5.669989803,     -0.9820259256
          0,           0,         182,      -6.432781121,      -4.565836569,      -5.706924374,     -0.9708751064
          0,           0,         183,      -6.428216554,      -4.903958983,      -5.746559975,     -0.9663047312
          0,           0,         184,      -6.430007856,      -5.156355873,      -5.787446013,     -0.9680897511
          0,           0,         185,      -6.438108069,      -4.697760972,      -5.827115451,     -0.9761864456
          0,           0,         186,      -6.452646981,      -4.465065774,      -5.861914644,     -0.9907277394
          0,           0,         187,      -6.473948069,      -4.319055543,       -5.88740914,      -1.012040182
          0,           0,         188,      -6.502571315,      -4.216005799,      -5.899754198,      -1.040686862
          0,           0,         189,       -6.53939368,      -4.139054854,      -5.897547984,      -1.077548142
          0,           0,         190,      -6.585752877,      -4.080034858,      -5.882597062,      -1.123965942
          0,           0,         191,      -6.643709457,      -4.034408089,      -5.858791978,      -1.182006911
          0,           0,         192,      -6.716553229,      -3.999425078,       -5.83026912,      -1.254971224
          0,           0,         193,      -6.809874356,      -3.973327533,      -5.800272756,      -1.348469485
          0,           0,         194,      -6.934137988,      -3.954960368,       -5.77092246,      -1.473013902
          0,           0,         195,      -7.112062628,      -3.943567317,      -5.743449517,      -1.651453805
          0,           0,         196,      -7.403127834,      -3.938678203,      -5.718487481,      -1.943656394
          0,           0,         197,      -7.685224879,      -3.940047411,      -5.696334304,      -2.221511175
          0,           0,         198,      -7.302706886,      -3.947623719,      -5.677139597,      -1.838623796
          0,           0,         199,      -7.063279455,      -3.961540483,      -5.660998068,       -1.60007853
          0,           0,         200,      -6.912142364,      -3.982127119,        -5.6480525,      -1.449353743
          0,           0,         201,      -6.805571443,      -4.009954481,       -5.63837131,      -1.343016663
          0,           0,         202,      -6.725991697,      -4.045913134,      -5.631988918,      -1.263585792
          0,           0,         203,      -6.664868534,      -4.091354607,      -5.628831145,      -1.202562754
          0,           0,         204,      -6.617484477,      -4.148349722,       -5.62864143,       -1.15524698
          0,           0,         205,      -6.581000345,      -4.220191263,      -5.630948878,       -1.11880854
          0,           0,         206,      -6.553612054,      -4.312467527,      -5.635081108,      -1.091449207
          0,           0,         207,      -6.534139565,      -4.435685863,      -5.640226061,      -1.071993183
          0,           0,         208,      -6.521809972,      -4.613110507,      -5.645528511,      -1.059670974
          0,           0,         209,      -6.516137662,      -4.912193085,      -5.650202853,       -1.05399991
          0,           0,         210,      -6.516858141,      -5.310666429,      -5.653636196,      -1.054718126
          0,           0,         211,      -6.523895197,       -4.83982412,      -5.655451213,      -1.061751772
          0,           0,         212,      -6.537352304,      -4.583606829,      -5.655513558,      -1.075206438
          0,           0,         213,      -6.557525974,      -4.427370137,      -5.653901774,       -1.09538049
          0,           0,         214,      -6.584944404,      -4.318581419,      -5.650853492,      -1.122803725
          0,           0,         215,      -6.620442126,      -4.237882305,      -5.646712085,      -1.158312058
          0,           0,         216,      -6.665294206,       -4.17616369,      -5.641880415,       -1.20318182
          0,           0,         217,      -6.721460759,      -4.128458652,      -5.636782907,      -1.259374498
          0,           0,         218,      -6.792057684,      -4.091794973,      -5.631833772,      -1.330008008
          0,           0,         219,      -6.882347246,         -4.064287,      -5.627413056,       -1.42034867
          0,           0,         220,      -7.002109351,      -4.044700466,      -5.623852942,      -1.540186874
          0,           0,         221,      -7.172487041,      -4.032225016,      -5.621440349,      -1.710701357
          0,           0,         222,      -7.451752394,      -4.026348914,      -5.620421893,      -1.990360417
          0,           0,         223,      -7.873191733,      -4.026789856,      -5.621027416,      -2.413091686
          0,           0,         224,      -7.448120701,      -4.033457869,       -5.62353014,       -1.98607055
          0,           0,         225,      -7.180261351,      -4.046447113,      -5.628126688,      -1.718204424
          0,           0,         226,      -7.018505525,      -4.066049678,      -5.634906712,       -1.55649751
          0,           0,         227,      -6.906449583,      -4.092791331,      -5.643911861,      -1.444483148
          0,           0,         228,      -6.823471684,        -4.1275021,      -5.655168715,      -1.361537714
          0,           0,         229,      -6.759986308,       -4.17144435,      -5.668685051,      -1.298076857
